linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
-12500009113944;1616258052945;0.1849680004119873;0.0;1;116;0;2021;11;23;7;32;5;0;2021;5;23;7;21;58;0
-12500009150333;1616258052961;0.1849680004119873;0.0;1;113;0;2021;11;4;2;5;22;0;2021;22;4;2;19;39;0
-12500009957535;1616258052973;0.1849680004119873;0.0;1;130;0;2021;5;4;20;5;55;0;2021;55;4;20;30;57;0
12500009957535;1616258052973;0.1849680004119873;0.0;1;110;0;2021;7;12;19;53;58;0;2021;58;12;19;29;58;0
12500009127434;1616258052975;0.1849680004119873;0.0;1;148;0;2021;10;7;1;2;30;0;2021;30;7;1;24;51;0
12500010065572;1616258052975;0.1849680004119873;0.0;1;7;0;2021;8;20;19;2;20;0;2021;20;20;19;43;25;0
-12500010065572;1616258052975;0.1849680004119873;0.0;1;38;0;2021;9;4;20;31;15;0;2021;15;4;20;50;38;0
12500009498303;1616258052979;0.1849680004119873;0.0;1;195;0;2021;8;10;19;26;31;0;2021;31;10;19;32;52;0
12500009504955;1616258052979;0.1849680004119873;0.0;1;11;0;2021;8;13;17;17;11;0;2021;11;13;17;42;27;0
12500009819470;1616258052983;0.1849680004119873;0.0;1;86;0;2021;4;22;19;9;58;0;2021;58;22;19;49;58;0
12500009948344;1616258052984;0.1849680004119873;0.0;1;3;0;2021;3;3;7;57;14;0;2021;14;3;7;11;16;0
12500009949313;1616258052984;0.1849680004119873;0.0;1;63;0;2021;5;19;15;2;12;0;2021;12;19;15;44;26;0
12500010028390;1616258052984;0.1849680004119873;0.0;1;4;0;2021;5;21;7;47;33;0;2021;33;21;7;16;33;0
12500010056667;1616258052984;0.1849680004119873;0.0;1;177;0;2021;6;24;22;46;9;0;2021;9;24;22;48;41;0
12500009644522;1616258053016;0.1849680004119873;0.0;1;136;0;2021;4;3;20;31;4;0;2021;4;3;20;32;13;0
12500009647875;1616258053016;0.1849680004119873;0.0;1;107;0;2021;10;15;15;56;29;0;2021;29;15;15;36;50;0
12500009679387;1616258053028;0.1849680004119873;0.0;1;6;0;2021;7;17;5;35;13;0;2021;13;17;5;58;57;0
12500009657283;1616258053029;0.1849680004119873;0.0;1;22;0;2021;9;10;8;36;31;0;2021;31;10;8;37;52;0
12500009748155;1616258053035;0.1849680004119873;0.0;1;2;0;2021;6;6;14;43;0;0;2021;0;6;14;47;32;0
12500009826483;1616258053043;0.1849680004119873;0.0;1;159;0;2021;5;2;7;41;19;0;2021;19;2;7;39;37;0
12500009885401;1616258053046;0.1849680004119873;0.0;1;151;0;2021;9;14;8;16;44;0;2021;44;14;8;41;55;0
12500009954233;1616258053048;0.1849680004119873;0.0;1;102;0;2021;3;4;4;34;41;0;2021;41;4;4;17;53;0
12500009846470;1616258053049;0.1849680004119873;0.0;1;121;0;2021;5;26;22;4;43;0;2021;43;26;22;52;56;0
12500010138628;1616258053056;0.1849680004119873;0.0;1;28;0;2021;3;12;16;17;11;0;2021;11;12;16;46;17;0
-12500010138628;1616258053056;0.1849680004119873;0.0;1;172;0;2021;7;19;20;47;32;0;2021;32;19;20;52;45;0
-12500009800091;1616258053057;0.1849680004119873;0.0;1;9;0;2021;10;1;3;56;16;0;2021;16;1;3;48;48;0
12500009795408;1616258053058;0.1849680004119873;0.0;1;158;0;2021;6;19;18;33;23;0;2021;23;19;18;35;30;0
